problemName,vehicleFileID,numUAVs,UAVSpeedType,numTrucks,numCustomers,timestamp,ofv,totalTime,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20191230T145938067895,104,2,maximum,-1,10, 2019-12-30 17:37:17,8095.980123,0.072496,0,10,0,0
20191230T145938067895,104,3,maximum,-1,10, 2019-12-30 17:37:18,8095.980123,0.074802,0,10,0,0
20191230T145938067895,104,4,maximum,-1,10, 2019-12-30 17:37:18,8095.980123,0.085383,0,10,0,0
20191230T145959409904,101,1,maximum,-1,10, 2019-12-30 17:37:18,6670.074251,0.201601,2,8,1550.071509,60
20191230T145959409904,101,2,maximum,-1,10, 2019-12-30 17:37:19,6670.074251,0.273876,2,8,1550.071509,60
20191230T145959409904,101,3,maximum,-1,10, 2019-12-30 17:37:20,6670.074251,0.326798,2,8,1550.071509,60
20191230T145959409904,101,4,maximum,-1,10, 2019-12-30 17:37:20,6670.074251,0.690303,2,8,1550.071509,60
20191230T145959409904,102,1,maximum,-1,10, 2019-12-30 17:37:22,5375.425253,0.208122,3,7,1275.006779,975.03135
20191230T145959409904,102,2,maximum,-1,10, 2019-12-30 17:37:22,4539.186555,0.359913,5,5,1149.741632,425.34091
20191230T145959409904,102,3,maximum,-1,10, 2019-12-30 17:37:23,3833.99396,0.345414,5,5,463.665921,791.683292
20191230T145959409904,102,4,maximum,-1,10, 2019-12-30 17:37:24,3833.99396,0.397814,5,5,463.665921,791.683292
20191230T145959409904,103,1,maximum,-1,10, 2019-12-30 17:37:25,6535.718166,0.056712,1,9,90,123.323579
20191230T145959409904,103,2,maximum,-1,10, 2019-12-30 17:37:25,6535.718166,0.079313,1,9,90,123.323579
20191230T145959409904,103,3,maximum,-1,10, 2019-12-30 17:37:25,6535.718166,0.100104,1,9,90,123.323579
20191230T145959409904,103,4,maximum,-1,10, 2019-12-30 17:37:26,6535.718166,0.461874,1,9,90,123.323579
20191230T145959409904,104,1,maximum,-1,10, 2019-12-30 17:37:27,6531.722472,0.052025,1,9,60,50.738411
20191230T145959409904,104,2,maximum,-1,10, 2019-12-30 17:37:27,6531.722472,0.066287,1,9,60,50.738411
20191230T145959409904,104,3,maximum,-1,10, 2019-12-30 17:37:27,6531.722472,0.087799,1,9,60,50.738411
20191230T145959409904,104,4,maximum,-1,10, 2019-12-30 17:37:28,6531.722472,0.107235,1,9,60,50.738411
20191230T150020711011,101,1,maximum,-1,10, 2019-12-30 17:37:28,5560.956777,0.709315,2,8,441.311624,304.146396
20191230T150020711011,101,2,maximum,-1,10, 2019-12-30 17:37:29,5275.369183,0.429108,4,6,300,661.619015
20191230T150020711011,101,3,maximum,-1,10, 2019-12-30 17:37:30,5275.369183,0.551689,4,6,300,661.619015
20191230T150020711011,101,4,maximum,-1,10, 2019-12-30 17:37:31,5275.369183,0.610825,4,6,300,661.619015
20191230T150020711011,102,1,maximum,-1,10, 2019-12-30 17:37:33,5008.083347,0.203764,5,5,420,828.953147
20191230T150020711011,102,2,maximum,-1,10, 2019-12-30 17:37:33,4875.617042,0.235985,6,4,480,2226.71575
20191230T150020711011,102,3,maximum,-1,10, 2019-12-30 17:37:34,4850.179495,0.138683,6,4,480,1328.019196
20191230T150020711011,102,4,maximum,-1,10, 2019-12-30 17:37:35,4850.179495,0.174554,6,4,480,1328.019196
20191230T150020711011,103,1,maximum,-1,10, 2019-12-30 17:37:35,5524.076925,0.108966,2,8,197.404182,37.05401
20191230T150020711011,103,2,maximum,-1,10, 2019-12-30 17:37:36,5386.53012,0.138034,4,6,360,474.580206
20191230T150020711011,103,3,maximum,-1,10, 2019-12-30 17:37:36,5386.53012,0.15043,4,6,360,474.580206
20191230T150020711011,103,4,maximum,-1,10, 2019-12-30 17:37:37,5386.53012,0.195115,4,6,360,474.580206
20191230T150020711011,104,1,maximum,-1,10, 2019-12-30 17:37:38,5866.408587,0.063786,2,8,150,230.678741
20191230T150020711011,104,2,maximum,-1,10, 2019-12-30 17:37:38,5755.190992,0.08849,3,7,210,486.777445
20191230T150020711011,104,3,maximum,-1,10, 2019-12-30 17:37:38,5755.190992,0.109656,3,7,210,486.777445
20191230T150020711011,104,4,maximum,-1,10, 2019-12-30 17:37:39,5755.190992,0.13042,3,7,210,486.777445
20191230T150126383669,101,1,maximum,-1,25, 2019-12-30 17:37:39,10854.38264,2.633544,1,24,90,201.562273
20191230T150126383669,101,2,maximum,-1,25, 2019-12-30 17:37:42,10684.49635,4.052537,8,17,1604.258999,1135.330068
